id	oldParent	newParent
6ab07321de33d8ae26d431f1	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07343de33d8ae26d4324f	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb38d2d6a320f5fb52703	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3902d6a320f5fb52714	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3902d6a320f5fb52719	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3932d6a320f5fb52729	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06c6b116cf5b1fd655a86	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab074a0b04b288fb4b26a58	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06de5116cf5b1fd655ba3	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab06d9d116cf5b1fd655b71	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3982d6a320f5fb52743	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab075fcb04b288fb4b26d53	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab075bbb04b288fb4b26cc0	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0733fde33d8ae26d43243	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb39c2d6a320f5fb52767	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0746eb04b288fb4b269cd	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb39d2d6a320f5fb5276a	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
